iter	RMSE
284	0.4666886969
285	0.4652727821
286	0.462154262
287	0.4594433159
288	0.4579651851
289	0.4563049227
290	0.4539346648
291	0.4520016067
292	0.450776563
293	0.4494921086
294	0.4475251023
295	0.4459322073
296	0.4437702164
297	0.4413133583
298	0.4404324946
299	0.4386074954
300	0.43619533
301	0.4353624744
302	0.4339818043
303	0.4328092404
304	0.4316706179
305	0.4299724397
306	0.42825723
307	0.4269661821
308	0.4257402904
309	0.4247563419
310	0.4229245804
311	0.4220447419
312	0.419671924
313	0.4187143512
314	0.4178615756
315	0.4158073777
316	0.413216692
317	0.4119318545
318	0.4108141211
319	0.4092839424
320	0.4079769957
321	0.4066361651
322	0.4059463929
323	0.4022859977
324	0.4010515479
325	0.3999990811
326	0.3981093793
327	0.3970926472
328	0.3947739222
329	0.3924965841
330	0.391711727
331	0.3909785734
332	0.3894104154
333	0.3885443243
334	0.387238244
335	0.3863444624
336	0.3834769289
337	0.3823638506
338	0.3816880557
339	0.3805615432
340	0.3793484476
341	0.3787361399
342	0.3758463198
343	0.3743828456
344	0.3734220231
345	0.3727848934
346	0.371009568
347	0.3689106557
348	0.3670292279
349	0.3660622064
350	0.3650032181
351	0.3638437432
352	0.3627487023
353	0.3616937327
354	0.3612348047
355	0.3603124521
356	0.3585850088
357	0.3577666618
358	0.3561935926
359	0.3548877159
360	0.3539869682
361	0.3534059318
362	0.351751637
363	0.3506916091
364	0.3488712877
365	0.3478955526
366	0.3470894006
367	0.3458604327
368	0.3450339679
369	0.3443325391
370	0.3431914969
371	0.3409178378
372	0.3404043527
373	0.33888268
374	0.3382710755
375	0.3375025905
376	0.3364510962
377	0.3360558561
378	0.3353573961
379	0.3341486978
380	0.3332044723
381	0.3323714685
382	0.3316329526
383	0.3305976438
384	0.329879682
385	0.3290104461
386	0.3282316131
387	0.3275603576
388	0.3267083827
389	0.3258243736
390	0.3246327327
391	0.3239224426
392	0.3231154538
393	0.3225409952
394	0.3219335306
395	0.3204303847
396	0.3195023989
397	0.3181801564
398	0.3171755491
399	0.3154197107
400	0.3143274196
401	0.3131851665
402	0.3121998055
403	0.3110346663
404	0.3091267534
405	0.3084125503
406	0.3078766986
407	0.3072346468
408	0.3061401334
409	0.3052705373
410	0.3046407538
411	0.3040511757
412	0.3029553489
413	0.301376722
414	0.2996832823
415	0.2988148375
416	0.2980157562
417	0.297159968
418	0.2963985137
419	0.2945272987
420	0.2936284208
421	0.2932924105
422	0.2929320762
423	0.2924218547
424	0.2916817631
425	0.2910078558
426	0.2890547606
427	0.2880801634
428	0.2871844663
429	0.2864794183
430	0.2858135491
431	0.2845311776
432	0.2829610162
433	0.282535873
434	0.2819337879
435	0.2810549433
436	0.2806113729
437	0.2788643372
438	0.2777483182
439	0.2768428458
440	0.2761104875
441	0.2751108318
442	0.2745735659
443	0.2738400964
444	0.2726586454
445	0.2722503299
446	0.2711216653
447	0.2704639757
448	0.2700312098
449	0.2696765277
450	0.2687818664
451	0.26816566
452	0.2672693411
453	0.2665612807
454	0.2653825168
455	0.2646973252
456	0.2640715715
457	0.2636386034
458	0.2626207435
459	0.2610347853
460	0.2601934686
461	0.2596836144
462	0.2589225405
463	0.2576844286
464	0.25708615
465	0.2562354274
466	0.255455699
467	0.2548837997
468	0.254316399
469	0.2536957825
470	0.253366557
471	0.2526879676
472	0.2520441915
473	0.2509570572
474	0.2495401036
475	0.2490031792
476	0.2487112025
477	0.2481533757
478	0.2475715284
479	0.2466396443
480	0.2462245953
481	0.2446425156
482	0.2441903152
483	0.2434136289
484	0.2429231066
485	0.2423379791
486	0.2415417474
487	0.2409595363
488	0.2403687639
489	0.2397767817
490	0.2389301104
491	0.2381770887
492	0.2376185005
493	0.2374186995
494	0.2354296779
495	0.2347729144
496	0.2337180178
497	0.2331572886
498	0.2323288066
499	0.2319142925
