iter	RMSE
0	19.16685541
1	15.90046814
2	13.31234551
3	11.15325258
4	9.492534409
5	8.186022754
6	7.131514075
7	6.285538982
8	5.679485932
9	5.189926342
10	4.754422665
11	4.422379335
12	4.108860145
13	3.905638503
14	3.703063167
15	3.565400357
16	3.464906188
17	3.334824728
18	3.250849187
19	3.196499928
20	3.107604445
21	3.053581425
22	3.013605725
23	2.97620382
24	2.953398029
25	2.88640138
26	2.8660358
27	2.789855869
28	2.744227923
29	2.681509091
30	2.646991445
31	2.621812069
32	2.585586844
33	2.515778915
34	2.490990278
35	2.422661902
36	2.398751648
37	2.383855491
38	2.362337281
39	2.334149402
40	2.271694512
41	2.252155472
42	2.223877764
43	2.206128667
44	2.142871448
45	2.11940247
46	2.080133049
47	2.0483606
48	2.023016012
49	2.013589409
50	1.988304925
51	1.97575264
52	1.92627759
53	1.907374372
54	1.893054053
55	1.884670089
56	1.833876306
57	1.81336568
58	1.783161031
59	1.773803313
60	1.72842729
61	1.699474643
62	1.687669893
63	1.658053188
64	1.641668574
65	1.617624882
66	1.590906376
67	1.561480073
68	1.555180274
69	1.525820334
70	1.506562411
71	1.489488543
72	1.478955935
73	1.454615436
74	1.442568624
75	1.432848827
76	1.420734791
77	1.405433891
78	1.392538534
79	1.374199447
80	1.365266347
81	1.355310387
82	1.345569246
83	1.327185162
84	1.317321143
85	1.309974872
86	1.297206728
87	1.292580238
88	1.284620631
89	1.272299075
90	1.265477267
91	1.258770649
92	1.255048497
93	1.249415317
94	1.239529176
95	1.230903533
96	1.224934242
97	1.220724782
98	1.218076309
99	1.20084097
100	1.194682776
101	1.187406587
102	1.173640727
103	1.169164394
104	1.164908201
105	1.157365456
106	1.152514645
107	1.145385331
108	1.139418277
109	1.133272156
110	1.128595743
111	1.118883498
112	1.110427778
113	1.104979914
114	1.100457385
115	1.088693722
116	1.08561488
117	1.077922879
118	1.074941957
119	1.066840665
120	1.0635183
121	1.059138567
122	1.055919455
123	1.043564051
124	1.027383233
125	1.02424468
126	1.018705109
127	1.009987545
128	0.9989812719
129	0.9959516196
130	0.9851963019
131	0.9785734706
132	0.9695237019
133	0.965813154
134	0.952297385
135	0.9479429858
136	0.943530308
137	0.9338252011
138	0.9275148763
139	0.9241257177
140	0.9168633586
141	0.9116266969
142	0.908030785
143	0.8980298835
144	0.8900781226
145	0.8876722282
146	0.8838676045
147	0.8757895134
148	0.8679819466
149	0.8580718926
150	0.8557423379
151	0.8509390656
152	0.8477460247
153	0.8432270378
154	0.8399464402
155	0.8358983153
156	0.8280786428
157	0.8245318912
158	0.8180834467
159	0.8088115493
160	0.8066048809
161	0.8037373008
162	0.7997808894
163	0.7970356874
164	0.7943194803
165	0.7921127047
166	0.7858902757
167	0.7833048929
168	0.7795556706
169	0.7769798423
170	0.7698578617
171	0.7675806695
172	0.7643033172
173	0.7617796812
174	0.7558337685
175	0.7528087093
176	0.7506892851
177	0.7480917509
178	0.7402622264
179	0.7393725643
180	0.7364472543
181	0.7346438475
182	0.7322900303
183	0.7287986464
184	0.7259043178
185	0.7239155196
186	0.7176980045
187	0.7146014407
188	0.7104933102
189	0.708228175
190	0.7015082072
191	0.6977773749
192	0.6961990526
193	0.6898036801
194	0.6878144765
195	0.6856035123
196	0.6829681647
197	0.6786498665
198	0.6765711785
199	0.671513928
200	0.665229508
201	0.6628198989
202	0.6607995717
203	0.6582716237
204	0.6549244
205	0.6496749029
206	0.6447861416
207	0.6431912166
208	0.6406319248
209	0.6390050539
210	0.6376987551
211	0.635408251
212	0.631730406
213	0.6271949477
214	0.6249123769
215	0.62220788
216	0.6205722176
217	0.6186662335
218	0.6173338673
219	0.6126984941
220	0.6101954561
221	0.607589707
222	0.6036363124
223	0.6023654588
224	0.599338169
225	0.5947300541
226	0.5939479372
227	0.5926003182
228	0.5912338749
229	0.5894034442
230	0.5851401121
231	0.5835004027
232	0.5803784368
233	0.5783056283
234	0.5774916479
235	0.5747130551
236	0.5729656683
237	0.5713048827
238	0.569755572
239	0.5684977655
240	0.5671152867
241	0.5658773466
242	0.5647137168
243	0.5631249787
244	0.5610810682
245	0.5574693452
246	0.5560110816
247	0.5510502243
248	0.5462429467
249	0.5427969789
250	0.5397712835
251	0.5345074268
252	0.532788338
253	0.5312298538
254	0.5290108802
255	0.5258800967
256	0.5232177404
257	0.5218269922
258	0.5196664765
259	0.5174611689
260	0.5146663964
261	0.5130238017
262	0.5099406347
263	0.5087986084
264	0.5070483413
265	0.5060644557
266	0.5044488711
267	0.5009783731
268	0.49854754
269	0.4955345844
270	0.4939156537
271	0.4930522033
272	0.4918033706
273	0.4891694462
274	0.486326613
275	0.4839905334
276	0.4826921993
277	0.4815801839
278	0.4782493696
279	0.4766739883
280	0.4755591475
281	0.4730377118
282	0.4711553539
283	0.4689376152
